id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,description
10866,رجالي,تياب,تياب قسم علوي,كنزات,أحمر,خريفي,كاجوال,
59607,نسواني,تياب,ساري,ساريات,رمادي,خريفي,تراثي,
15528,رجالي,تياب,تياب قسم علوي,كنزات,أسود,خريفي,كاجوال,
54924,رجالي,تياب,تياب قسم سفلي,شورتات,أزرق,صيفي,كاجوال,
9660,رجالي,تياب,تياب قسم علوي,قمصان,زهري,خريفي,كاجوال,
2288,نسواني,تياب,تياب قسم علوي,كنزات,أسود,خريفي,رياضي,
23876,رجالي,تياب,تياب قسم علوي,كنزات شتوية قطن,أزرق,خريفي,كاجوال,
18237,رجالي,تياب,تياب قسم علوي,كنزات,أحمر,خريفي,كاجوال,
49653,نسواني,تياب,تياب قسم علوي,توبات,أخضر,صيفي,كاجوال,
13419,رجالي,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
58513,نسواني,تياب,تياب قسم علوي,توبات,أبيض مائل للسكري,صيفي,كاجوال,
5865,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
39716,نسواني,تياب,فستان,فساتين,أزرق,صيفي,كاجوال,
55802,نسواني,تياب,بيجامات,بيجامات نوم,أبيض,صيفي,كاجوال,
29584,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
28456,نسواني,تياب,تياب قسم سفلي,تنانير,أزرق,صيفي,رياضي,
34009,بناتي,تياب,تياب قسم علوي,توبات,أسود,صيفي,كاجوال,
9694,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,كاجوال,
15984,رجالي,تياب,تياب قسم علوي,قمصان,أصفر,خريفي,كاجوال,
59297,رجالي,تياب,تياب قسم علوي,قمصان,أبيض,خريفي,كاجوال,
27846,نسواني,تياب,تياب قسم علوي,بليزرات,رمادي غامق,صيفي,رسمي,
26994,نسواني,تياب,تياب قسم سفلي,جينزات,أسود,صيفي,كاجوال,
54588,نسواني,تياب,تياب قسم علوي,كُرتات,أخضر,صيفي,تراثي,
8322,ولادي,تياب,تياب قسم علوي,كنزات,أزرق,خريفي,كاجوال,
7158,رجالي,تياب,تياب قسم علوي,قمصان,أخضر,خريفي,كاجوال,
19547,رجالي,تياب,تياب قسم علوي,كنزات شتوية قطن,أزرق,خريفي,كاجوال,
7964,رجالي,تياب,تياب قسم علوي,كنزات,أسود,خريفي,رياضي,
39140,نسواني,تياب,طقم تياب,أطقم كُرتا,أسود,صيفي,تراثي,
16392,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,كاجوال,
51455,نسواني,تياب,تياب قسم علوي,شراڤ,زهري,صيفي,كاجوال,
17240,رجالي,تياب,تياب قسم علوي,كنزات,أسود,خريفي,كاجوال,
6617,رجالي,تياب,تياب قسم علوي,قمصان,أسود,صيفي,كاجوال,
3365,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
10065,رجالي,تياب,تياب قسم علوي,كنزات,أصفر,خريفي,كاجوال,
5092,رجالي,تياب,تياب قسم علوي,كنزات,بنفسجي,صيفي,كاجوال,
10859,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,خريفي,كاجوال,
59638,نسواني,تياب,ساري,ساريات,أخضر,خريفي,تراثي,
10257,رجالي,تياب,تياب قسم سفلي,بناطلين,أسود,خريفي,رسمي,
24062,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,صيفي,كاجوال,
11385,نسواني,تياب,تياب قسم علوي,كنزات شتوية قطن,أسود,خريفي,كاجوال,
22395,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,خريفي,كاجوال,
31782,نسواني,تياب,تياب قسم علوي,توبات,أزرق,صيفي,كاجوال,
12500,رجالي,تياب,تياب قسم علوي,قمصان,أسود,خريفي,كاجوال,
30650,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
32563,نسواني,تياب,تياب قسم سفلي,بناطلين,أزرق,صيفي,كاجوال,
40143,بناتي,تياب,تياب قسم علوي,توبات,أزرق,صيفي,كاجوال,
24406,نسواني,تياب,تياب قسم علوي,كُرتات,أحمر,صيفي,تراثي,
21174,نسواني,تياب,تياب قسم علوي,توبات,بيج,خريفي,كاجوال,
15341,نسواني,تياب,تياب قسم سفلي,شورتات,زهري,خريفي,رياضي,
14293,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,خريفي,كاجوال,
6041,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,صيفي,كاجوال,
23623,بناتي,تياب,تياب قسم علوي,توبات,زهري,خريفي,كاجوال,
9835,نسواني,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,كاجوال,
7193,نسواني,تياب,تياب قسم سفلي,جينزات,أسود,خريفي,كاجوال,
27283,نسواني,تياب,تياب قسم علوي,كُرتات,ماجنتا,خريفي,تراثي,
3533,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,صيفي,كاجوال,
12164,نسواني,تياب,تياب قسم علوي,شال هندي,برتقالي,خريفي,تراثي,
17624,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,كحلي,خريفي,رياضي,
47154,بناتي,تياب,تياب قسم سفلي,بناطلين كابري,أسود,صيفي,كاجوال,
13284,رجالي,تياب,تياب قسم سفلي,شورتات,أسود,خريفي,كاجوال,
26163,رجالي,تياب,تياب قسم سفلي,بناطلين,رمادي,صيفي,رسمي,
3701,نسواني,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
42426,نسواني,تياب,تياب قسم علوي,كُرتات,أخضر بحري,صيفي,تراثي,
10401,نسواني,تياب,تياب قسم علوي,توبات,بنفسجي,خريفي,كاجوال,
40371,نسواني,تياب,تياب قسم سفلي,جينزات,كحلي,صيفي,كاجوال,
37223,نسواني,تياب,تياب قسم علوي,توبات,أزرق,صيفي,كاجوال,
53766,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
25520,بناتي,تياب,تياب قسم علوي,توبات,أبيض,خريفي,كاجوال,
32597,نسواني,تياب,تياب قسم علوي,توبات,أسود,صيفي,كاجوال,
57100,نسواني,تياب,تياب قسم علوي,توبات,زهري,صيفي,كاجوال,
52472,نسواني,تياب,بيجامات,روب حمام,زهري,شتوي,كاجوال,
50325,نسواني,تياب,تياب قسم علوي,كُرتات,كحلي,صيفي,تراثي,
16530,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,كاجوال,
7167,رجالي,تياب,تياب قسم علوي,قمصان,بنفسجي,خريفي,كاجوال,
46240,نسواني,تياب,تياب قسم علوي,تونيكات,أبيض,صيفي,كاجوال,
27277,نسواني,تياب,تياب قسم علوي,كُرتات,أخضر,خريفي,تراثي,
6889,نسواني,تياب,تياب قسم علوي,جاكيتات,سكري,صيفي,كاجوال,
31312,نسواني,تياب,تياب قسم علوي,كُرتات,خوخي,صيفي,تراثي,
12190,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,خريفي,كاجوال,
19578,نسواني,تياب,تياب قسم علوي,توبات,بنفسجي,صيفي,كاجوال,
27879,نسواني,تياب,تياب قسم علوي,توبات,أزرق,صيفي,كاجوال,
6287,رجالي,تياب,تياب قسم علوي,كنزات,أصفر,صيفي,كاجوال,
7355,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,خريفي,كاجوال,
43500,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
13270,نسواني,تياب,تياب قسم علوي,توبات,أبيض,خريفي,كاجوال,
31120,بناتي,تياب,تياب قسم علوي,توبات,زهري,صيفي,كاجوال,
11527,رجالي,تياب,تياب قسم علوي,كنزات,زيتي,خريفي,كاجوال,
40385,نسواني,تياب,تياب قسم علوي,توبات,أصفر,صيفي,كاجوال,
15187,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,كاجوال,
14055,رجالي,تياب,تياب قسم علوي,قمصان,أخضر,خريفي,كاجوال,
20260,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,خريفي,كاجوال,
28469,نسواني,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
34036,ولادي,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,كاجوال,
8779,رجالي,تياب,تياب قسم علوي,قمصان,كحلي,خريفي,كاجوال,
2243,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,رياضي,
27421,نسواني,تياب,بيجامات,بنطلونات مريحة,أزرق,شتوي,كاجوال,
33213,نسواني,تياب,تياب قسم علوي,توبات,ماجنتا,صيفي,كاجوال,
39729,نسواني,تياب,تياب قسم علوي,توبات,زيتي,صيفي,كاجوال,
11143,رجالي,تياب,تياب قسم علوي,قمصان,أسود,خريفي,كاجوال,
56684,نسواني,تياب,ساري,ساريات,بيج,خريفي,تراثي,
4988,نسواني,تياب,فستان,فساتين,أبيض,صيفي,كاجوال,
44341,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,صيفي,كاجوال,
33021,نسواني,تياب,تياب قسم علوي,كُرتات,سكري,صيفي,تراثي,
11371,رجالي,تياب,تياب قسم علوي,قمصان,أسود,خريفي,كاجوال,
41401,نسواني,تياب,تياب قسم علوي,توبات,أبيض,صيفي,كاجوال,
4386,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
29789,رجالي,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
7503,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,صيفي,رياضي,
34204,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,كحلي,خريفي,كاجوال,
13426,رجالي,تياب,تياب قسم علوي,كنزات,أحمر,صيفي,كاجوال,
13846,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,خريفي,كاجوال,
46278,نسواني,تياب,تياب قسم علوي,تونيكات,أحمر,صيفي,كاجوال,
16508,رجالي,تياب,تياب قسم سفلي,جينزات,أزرق,خريفي,كاجوال,
19540,رجالي,تياب,تياب قسم علوي,كنزات صوف,أزرق,صيفي,كاجوال,
7963,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,رياضي,
39147,نسواني,تياب,طقم تياب,أطقم كُرتا,بنفسجي,خريفي,تراثي,
57138,نسواني,تياب,تياب قسم سفلي,بناطلين,بني,صيفي,كاجوال,
15983,رجالي,تياب,تياب قسم علوي,قمصان,نبيذي,خريفي,كاجوال,
20258,رجالي,تياب,تياب قسم علوي,كنزات,بني,خريفي,كاجوال,
26993,نسواني,تياب,تياب قسم سفلي,جينزات,أزرق,صيفي,كاجوال,
13248,رجالي,تياب,تياب قسم سفلي,بناطلين,بني,خريفي,كاجوال,
43538,نسواني,تياب,تياب قسم علوي,توبات,أزرق,صيفي,كاجوال,
8325,ولادي,تياب,تياب قسم علوي,كنزات,أصفر,خريفي,كاجوال,
31118,بناتي,تياب,تياب قسم علوي,توبات,أحمر,صيفي,كاجوال,
5862,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
58726,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
51499,نسواني,تياب,تياب قسم سفلي,جينزات,أزرق,صيفي,كاجوال,
55805,نسواني,تياب,بيجامات,بيجامات نوم,زهري,صيفي,كاجوال,
7709,نسواني,تياب,تياب قسم سفلي,جينزات,أسود,خريفي,كاجوال,
28451,نسواني,تياب,تياب قسم سفلي,بناطلين رياضة,أسود,صيفي,كاجوال,
43960,رجالي,تياب,تياب قسم علوي,قمصان,رمادي,صيفي,رسمي,
8741,رجالي,تياب,تياب قسم علوي,قمصان,كحلي,خريفي,كاجوال,
27419,نسواني,تياب,بيجامات,بنطلونات مريحة,أسود,شتوي,كاجوال,
22359,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,كاجوال,
49654,نسواني,تياب,تياب قسم سفلي,تنانير,رمادي,صيفي,كاجوال,
2049,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,رياضي,
33019,نسواني,تياب,تياب قسم علوي,كُرتات,أصفر,صيفي,تراثي,
11349,رجالي,تياب,تياب قسم سفلي,جينزات,أزرق,صيفي,كاجوال,
24892,رجالي,تياب,تياب قسم علوي,كنزات,أسود,خريفي,كاجوال,
58514,نسواني,تياب,تياب قسم علوي,توبات,رمادي,صيفي,كاجوال,
38637,رجالي,تياب,تياب قسم علوي,كنزات,أحمر,صيفي,كاجوال,
4944,رجالي,تياب,تياب قسم علوي,قمصان,أبيض,صيفي,كاجوال,
10861,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,كاجوال,
59600,نسواني,تياب,ساري,ساريات,صدّي,خريفي,تراثي,
54923,بناتي,تياب,تياب قسم سفلي,بناطلين كابري,زيتي,صيفي,كاجوال,
17278,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,كاجوال,
31588,رجالي,تياب,تياب قسم علوي,كنزات,خمري,صيفي,كاجوال,
18230,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,كاجوال,
23871,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,كاجوال,
9667,رجالي,تياب,تياب قسم علوي,قمصان,بنفسجي,خريفي,كاجوال,
16198,رجالي,تياب,تياب قسم سفلي,طقم رياضة,أسود,خريفي,رياضي,
3953,نسواني,تياب,تياب قسم علوي,كنزات,أحمر,صيفي,كاجوال,
28697,نسواني,تياب,تياب قسم علوي,كُرتات,أسود,صيفي,تراثي,
12538,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,أزرق,خريفي,كاجوال,
8587,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,كاجوال,
42248,نسواني,تياب,تياب قسم علوي,توبات,زهري,صيفي,كاجوال,
9455,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,رسمي,
18002,نسواني,تياب,تياب قسم سفلي,بناطلين كابري,أسود,صيفي,رياضي,
1638,للجنسين,تياب,تياب قسم سفلي,مايوهات,أزرق,خريفي,رياضي,
32903,نسواني,تياب,تياب قسم سفلي,شورتات,أحمر,صيفي,كاجوال,
6079,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
29321,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,رياضي,
26369,نسواني,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,كاجوال,
33489,رجالي,تياب,تياب قسم علوي,قمصان,أخضر,صيفي,كاجوال,
56822,رجالي,تياب,تياب قسم سفلي,بناطلين,بيج,صيفي,كاجوال,
40947,ولادي,تياب,تياب قسم علوي,كنزات,أحمر,صيفي,كاجوال,
39381,رجالي,تياب,تياب قسم سفلي,جينزات,أسود,صيفي,كاجوال,
15977,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,كاجوال,
32769,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,ربيعي,كاجوال,
10439,رجالي,تياب,تياب قسم علوي,كنزات,بني,خريفي,كاجوال,
14099,نسواني,تياب,تياب قسم علوي,توبات,زهري,خريفي,كاجوال,
1852,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,صيفي,كاجوال,
30802,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,تراثي,
26967,نسواني,تياب,تياب قسم علوي,توبات,كحلي,صيفي,كاجوال,
27089,نسواني,تياب,تياب قسم علوي,كُرتات,بني,صيفي,تراثي,
19786,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,شتوي,كاجوال,
24091,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,خريفي,كاجوال,
33026,نسواني,تياب,تياب قسم علوي,كُرتات,زهري,خريفي,تراثي,
41406,نسواني,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
11376,نسواني,تياب,تياب قسم علوي,توبات,رمادي,خريفي,كاجوال,
4381,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,صيفي,كاجوال,
7504,نسواني,تياب,تياب قسم علوي,كنزات,زهري,صيفي,رياضي,
22366,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,خريفي,كاجوال,
34203,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,رمادي غامق,شتوي,كاجوال,
13421,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
27614,رجالي,تياب,تياب قسم سفلي,بناطلين,بيج,صيفي,كاجوال,
16361,رجالي,تياب,تياب قسم علوي,قمصان,خمري,خريفي,رسمي,
46411,رجالي,تياب,تياب قسم علوي,كنزات شتوية قطن,أسود,صيفي,كاجوال,
34031,ولادي,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,كاجوال,
31543,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,صيفي,كاجوال,
27426,نسواني,تياب,تياب قسم سفلي,شورتات,رمادي مموج,شتوي,كاجوال,
2244,نسواني,تياب,تياب قسم علوي,كنزات,أسود,خريفي,كاجوال,
33214,نسواني,تياب,تياب قسم علوي,تونيكات,أسود,صيفي,كاجوال,
11144,رجالي,تياب,تياب قسم علوي,قمصان,أسود,خريفي,كاجوال,
58719,نسواني,تياب,تياب قسم علوي,كُرتات,أبيض مائل للسكري,صيفي,تراثي,
6280,رجالي,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
7352,رجالي,تياب,تياب قسم علوي,كنزات,بنفسجي,خريفي,كاجوال,
2620,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,خريفي,رياضي,
43507,رجالي,تياب,تياب قسم علوي,كنزات,خمري,صيفي,كاجوال,
28836,نسواني,تياب,تياب قسم علوي,كُرتات,عدة ألوان,صيفي,تراثي,
31127,بناتي,تياب,فستان,فساتين,أسود,صيفي,كاجوال,
11520,نسواني,تياب,تياب قسم سفلي,جينزات,أسود,خريفي,كاجوال,
40382,نسواني,تياب,تياب قسم علوي,توبات,زهري,صيفي,كاجوال,
14052,رجالي,تياب,تياب قسم علوي,قمصان,أبيض,خريفي,كاجوال,
53795,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
39178,نسواني,تياب,تياب قسم علوي,كُرتات,أزرق,صيفي,تراثي,
32590,نسواني,تياب,تياب قسم سفلي,شورتات,بني,صيفي,كاجوال,
11712,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,كاجوال,
25527,نسواني,تياب,تياب قسم علوي,قمصان,أخضر,صيفي,كاجوال,
57107,نسواني,تياب,تياب قسم علوي,توبات,زيتي,صيفي,كاجوال,
50322,نسواني,تياب,تياب قسم علوي,كُرتات,أسود,صيفي,تراثي,
13879,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,كاجوال,
46247,نسواني,تياب,تياب قسم علوي,تونيكات,زهري,صيفي,كاجوال,
7160,نسواني,تياب,تياب قسم علوي,تونيكات,بنفسجي,خريفي,كاجوال,
27270,نسواني,تياب,تياب قسم علوي,كُرتات,خمري,خريفي,تراثي,
12197,رجالي,تياب,تياب قسم علوي,كنزات,برتقالي,صيفي,كاجوال,
31315,نسواني,تياب,تياب قسم علوي,كُرتات,بني,صيفي,تراثي,
6274,نسواني,تياب,تياب قسم علوي,كنزات,أخضر,صيفي,كاجوال,
47153,بناتي,تياب,تياب قسم سفلي,بناطلين كابري,زهري,صيفي,كاجوال,
17623,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,رمادي,خريفي,رياضي,
51036,نسواني,تياب,بيجامات,قمصان نوم,أخضر ليموني,صيفي,كاجوال,
26958,نسواني,تياب,تياب قسم علوي,قمصان,تركوازي غامق,صيفي,كاجوال,
13283,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,خريفي,كاجوال,
3706,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
26164,رجالي,تياب,تياب قسم سفلي,بناطلين,رمادي,صيفي,رسمي,
40376,نسواني,تياب,تياب قسم علوي,توبات,أصفر,صيفي,كاجوال,
10406,نسواني,تياب,فستان,فساتين,رمادي,خريفي,كاجوال,
15174,رجالي,تياب,تياب قسم علوي,كنزات,أصفر,خريفي,كاجوال,
53761,رجالي,تياب,تياب قسم علوي,كنزات,أخضر,صيفي,كاجوال,
37224,نسواني,تياب,تياب قسم علوي,قمصان,بنفسجي,صيفي,كاجوال,
32564,نسواني,تياب,تياب قسم سفلي,بناطلين,برتقالي,صيفي,كاجوال,
24401,نسواني,تياب,تياب قسم علوي,كُرتات,بني,صيفي,تراثي,
40144,بناتي,تياب,تياب قسم علوي,توبات,زهري,صيفي,كاجوال,
15346,رجالي,تياب,تياب قسم علوي,كنزات,أسود,خريفي,كاجوال,
21173,نسواني,تياب,تياب قسم علوي,قمصان,رمادي,خريفي,كاجوال,
40978,ولادي,تياب,تياب قسم علوي,كنزات,أحمر,صيفي,كاجوال,
14294,رجالي,تياب,تياب قسم علوي,كنزات,أسود,خريفي,كاجوال,
9832,نسواني,تياب,تياب قسم علوي,كنزات,برتقالي,خريفي,كاجوال,
23624,بناتي,تياب,تياب قسم علوي,توبات,أبيض,خريفي,كاجوال,
6046,رجالي,تياب,تياب قسم علوي,قمصان,أخضر,صيفي,كاجوال,
34693,بناتي,تياب,تياب قسم سفلي,شورتات,زهري,صيفي,كاجوال,
7194,نسواني,تياب,تياب قسم علوي,توبات,أبيض,خريفي,كاجوال,
27284,نسواني,تياب,تياب قسم علوي,كُرتات,بني,خريفي,تراثي,
12163,نسواني,تياب,تياب قسم سفلي,ليغنغز,بنفسجي,خريفي,تراثي,
3534,نسواني,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
24065,رجالي,تياب,تياب قسم علوي,قمصان,أخضر,خريفي,كاجوال,
1607,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,أزرق,خريفي,رياضي,
11382,نسواني,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,كاجوال,
4375,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,صيفي,كاجوال,
22392,نسواني,تياب,تياب قسم علوي,توبات,أبيض,خريفي,كاجوال,
23240,نسواني,تياب,تياب قسم علوي,كُرتات,أزرق,خريفي,تراثي,
31785,نسواني,تياب,تياب قسم علوي,توبات,كحلي,صيفي,كاجوال,
17849,نسواني,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,كاجوال,
29548,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,صيفي,كاجوال,
16395,رجالي,تياب,تياب قسم علوي,قمصان,أسود,خريفي,كاجوال,
51452,نسواني,تياب,تياب قسم علوي,توبات,أبيض,صيفي,كاجوال,
6610,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
17247,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,خريفي,كاجوال,
23072,رجالي,تياب,تياب قسم سفلي,بناطلين,كحلي,شتوي,رسمي,
3362,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
9658,رجالي,تياب,تياب قسم علوي,قمصان,خمري,خريفي,كاجوال,
38608,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
10062,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,كاجوال,
5095,رجالي,تياب,تياب قسم علوي,كنزات,أزرق,صيفي,كاجوال,
21725,رجالي,تياب,تياب قسم علوي,كنزات شتوية قطن,كحلي,خريفي,كاجوال,
34038,ولادي,تياب,تياب قسم علوي,قمصان,أحمر,صيفي,كاجوال,
28467,نسواني,تياب,تياب قسم علوي,كنزات,صدّي,صيفي,كاجوال,
16368,رجالي,تياب,تياب قسم سفلي,بناطلين,رمادي غامق,خريفي,رسمي,
8777,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,خريفي,كاجوال,
4986,رجالي,تياب,تياب قسم علوي,كنزات,أحمر,صيفي,رياضي,
39727,نسواني,تياب,تياب قسم علوي,قمصان,أزرق,صيفي,رسمي,
4388,رجالي,تياب,تياب قسم علوي,كنزات,أخضر,صيفي,كاجوال,
2843,رجالي,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
3991,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
29787,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
13428,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
19112,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
32599,نسواني,تياب,تياب قسم علوي,توبات,أسود,صيفي,كاجوال,
39171,نسواني,تياب,تياب قسم علوي,كُرتات,زهري,صيفي,تراثي,
57932,رجالي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
40985,ولادي,تياب,تياب قسم علوي,كنزات,أبيض,صيفي,كاجوال,
7169,رجالي,تياب,تياب قسم علوي,قمصان,أزرق,خريفي,كاجوال,
13870,رجالي,تياب,تياب قسم علوي,قمصان,بيج,خريفي,كاجوال,
19576,نسواني,تياب,تياب قسم علوي,توبات,أبيض,صيفي,كاجوال,
7955,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,خريفي,رياضي,
27279,نسواني,تياب,تياب قسم علوي,كُرتات,أزرق,خريفي,تراثي,
6887,نسواني,تياب,تياب قسم علوي,جاكيتات,أزرق,صيفي,كاجوال,
